,TV,Radio,Newspaper,Sales
107,25,11,29.7,7.2
45,25.1,25.7,43.3,8.5
124,123.1,34.6,12.4,15.2
174,168.4,7.1,12.8,11.7
57,7.3,28.1,41.4,5.5
90,109.8,47.8,51.4,16.7
14,97.5,7.6,7.2,9.7
167,17.9,37.6,21.6,8
135,36.9,38.6,65.6,10.8
112,241.7,38,23.2,21.8
41,202.5,22.3,31.6,16.6
20,147.3,23.9,19.1,14.6
188,191.1,28.7,18.2,17.3
36,290.7,4.1,8.5,12.8
137,25.6,39,9.3,9.5
89,88.3,25.5,73.4,12.9
140,184.9,43.9,1.7,20.7
93,217.7,33.5,59,19.4
66,69,9.3,0.9,9.3
88,110.7,40.6,63.2,16
70,216.8,43.9,27.2,22.3
114,209.6,20.6,10.7,15.9
163,188.4,18.1,25.6,14.9
62,261.3,42.7,54.7,24.2
16,195.4,47.7,52.9,22.4
39,43.1,26.7,35.1,10.1
200,232.1,8.6,8.7,13.4
12,214.7,24,4,17.4
120,19.4,16,22.3,6.6
144,104.6,5.7,34.4,10.4
5,180.8,10.8,58.4,12.9
1,230.1,37.8,69.2,22.1
64,102.7,29.6,8.4,14
122,18.8,21.7,50.4,7
148,243.2,49,44.3,25.4
101,222.4,4.3,49.8,11.7
29,248.8,27.1,22.9,18.9
43,293.6,27.7,1.8,20.7
81,76.4,26.7,22.3,11.8
33,97.2,1.5,30,9.6
125,229.5,32.3,74.2,19.7
54,182.6,46.2,58.7,21.2
65,131.1,42.8,28.9,18
196,38.2,3.7,13.8,7.6
49,227.2,15.8,49.9,14.8
59,210.8,49.6,37.7,23.8
27,142.9,29.3,12.6,15
192,75.5,10.8,6,9.9
67,31.5,24.6,2.2,9.5
91,134.3,4.9,9.3,11.2
71,199.1,30.6,38.7,18.3
75,213.4,24.6,13.1,17
158,149.8,1.3,24.3,10.1
155,187.8,21.1,9.5,15.6
190,18.7,12.1,23.4,6.7
34,265.6,20,0.3,17.4
126,87.2,11.8,25.9,10.6
110,255.4,26.9,5.5,19.8
18,281.4,39.6,55.8,24.4
68,139.3,14.5,10.2,13.4
129,220.3,49,3.2,24.7
84,68.4,44.5,35.6,13.6
181,156.6,2.6,8.3,10.5
63,239.3,15.5,27.3,15.7
96,163.3,31.6,52.9,16.9
30,70.6,16,40.8,10.5
159,11.7,36.9,45.2,7.3
103,280.2,10.1,21.4,14.8
98,184.9,21,22,15.5
171,50,11.6,18.4,8.4
73,26.8,33,19.3,8.8
139,43,25.9,20.5,9.6
47,89.7,9.9,35.7,10.6
74,129.4,5.7,31.3,11
72,109.8,14.3,31.7,12.4
166,234.5,3.4,84.8,11.9
128,80.2,0,9.2,8.8
56,198.9,49.4,60,23.7
195,149.7,35.6,6,17.3
153,197.6,23.3,14.2,16.6
11,66.1,5.8,24.2,8.6
79,5.4,29.9,9.4,5.3
21,218.4,27.7,53.4,18
168,206.8,5.2,19.4,12.2
4,151.5,41.3,58.5,18.5
145,96.2,14.8,38.9,11.4
185,253.8,21.3,30,17.6
102,296.4,36.3,100.9,23.8
119,125.7,36.9,79.2,15.9
179,276.7,2.3,23.7,11.8
3,17.2,45.9,69.3,9.3
105,238.2,34.3,5.3,20.7
130,59.6,12,43.1,9.7
42,177,33.4,38.7,17.1
83,75.3,20.3,32.5,11.3
99,289.7,42.3,51.2,25.4
115,78.2,46.8,34.5,14.6
121,141.3,26.8,46.2,15.5
147,240.1,7.3,8.7,13.2
10,199.8,2.6,21.2,10.6
132,265.2,2.9,43,12.7
17,67.8,36.6,114,12.5
197,94.2,4.9,8.1,9.7
116,75.1,35,52.7,12.6
97,197.6,3.5,5.9,11.7
22,237.4,5.1,23.5,12.5
149,38,40.3,11.9,10.9
76,16.9,43.7,89.4,8.7
111,225.8,8.2,56.5,13.4
109,13.1,0.4,25.6,5.3
165,117.2,14.7,5.4,11.9
82,239.8,4.1,36.9,12.3
28,240.1,16.7,22.9,15.9
151,280.7,13.9,37,16.1
136,48.3,47,8.5,11.6
160,131.7,18.4,34.6,12.9
131,0.7,39.6,8.7,1.6
87,76.3,27.5,16,12
170,284.3,10.6,6.4,15
172,164.5,20.9,47.4,14.5
191,39.5,41.1,5.8,10.8
50,66.9,11.7,36.8,9.7
37,266.9,43.8,5,25.4
48,239.9,41.5,18.5,23.2
157,93.9,43.5,50.5,15.3
154,171.3,39.7,37.7,19
78,120.5,28.5,14.2,14.2
176,276.9,48.9,41.8,27
175,222.4,3.4,13.1,11.5
152,121,8.4,48.7,11.6
35,95.7,1.4,7.4,9.5
53,216.4,41.7,39.6,22.6
51,199.8,3.1,34.6,11.4
193,17.2,4.1,31.6,5.9
23,13.2,15.9,49.6,5.6
127,7.8,38.9,50.6,6.6
146,140.3,1.9,9,10.3
13,23.8,35.1,65.9,9.2
141,73.4,17,12.9,10.9
46,175.1,22.5,31.5,14.9
186,205,45.1,19.6,22.6
85,213.5,43,33.8,21.7
86,193.2,18.4,65.7,15.2
118,76.4,0.8,14.8,9.4
164,163.5,36.8,7.4,18
7,57.5,32.8,23.5,11.8
143,220.5,33.2,37.9,20.1
169,215.4,23.6,57.6,17.1
182,218.5,5.4,27.4,12.2
2,44.5,39.3,45.1,10.4
61,53.5,2,21.4,8.1
189,286,13.9,3.7,15.9
142,193.7,35.4,75.6,19.2
113,175.7,15.4,2.4,14.1
173,19.6,20.1,17,7.6
162,85.7,35.8,49.3,13.3
24,228.3,16.9,26.2,15.5
31,292.9,28.3,43.2,21.4
9,8.6,2.1,1,4.8
183,56.2,5.7,29.7,8.7
